[Video Information]
Title:

Date:
27/06/2017 16:02:47
Description:

Annotator:

Video filename:
C:\Users\rmn\Downloads\EPFL-RLC_dataset\EPFL-RLC_dataset\frames\cam0.avi.MPG
Video Descriptors filename:

Video Descriptors (0):


[Region Information]
Object Number #1
Region Description:
Region 01
Start Frame:0
End Frame:26
Region Descriptors (0):
Region frames data
Frames: 0 to 1
x: 295
y: 93
width: 42
height: 96

Frame: 2
x: 296
y: 94
width: 42
height: 96

Frame: 3
x: 300
y: 90
width: 41
height: 102

Frame: 4
x: 303
y: 91
width: 41
height: 102

Frame: 5
x: 303
y: 91
width: 42
height: 101

Frame: 6
x: 303
y: 91
width: 46
height: 107

Frame: 7
x: 309
y: 92
width: 46
height: 107

Frame: 8
x: 312
y: 95
width: 47
height: 107

Frame: 9
x: 317
y: 91
width: 44
height: 114

Frame: 10
x: 322
y: 93
width: 44
height: 114

Frame: 11
x: 325
y: 92
width: 45
height: 117

Frame: 12
x: 331
y: 92
width: 47
height: 124

Frame: 13
x: 338
y: 92
width: 47
height: 127

Frame: 14
x: 338
y: 92
width: 51
height: 133

Frame: 15
x: 344
y: 94
width: 51
height: 133

Frame: 16
x: 350
y: 92
width: 50
height: 137

Frame: 17
x: 353
y: 92
width: 50
height: 137

Frame: 18
x: 359
y: 92
width: 50
height: 137

Frame: 19
x: 367
y: 94
width: 50
height: 137

Frame: 20
x: 374
y: 93
width: 56
height: 141

Frame: 21
x: 382
y: 94
width: 56
height: 141

Frame: 22
x: 391
y: 95
width: 56
height: 141

Frame: 23
x: 400
y: 91
width: 59
height: 144

Frame: 24
x: 409
y: 91
width: 59
height: 144

Frame: 25
x: 423
y: 91
width: 59
height: 144

Frame: 26
x: 431
y: 91
width: 51
height: 144

Object Number #2
Region Description:
Region 02
Start Frame:0
End Frame:26
Region Descriptors (0):
Region frames data
Frame: 0
x: 302
y: 95
width: 35
height: 91

Frame: 1
x: 303
y: 95
width: 35
height: 91

Frames: 2 to 3
x: 305
y: 95
width: 35
height: 91

Frame: 4
x: 305
y: 96
width: 35
height: 91

Frame: 5
x: 308
y: 96
width: 35
height: 91

Frames: 6 to 7
x: 314
y: 95
width: 40
height: 100

Frame: 8
x: 315
y: 95
width: 40
height: 100

Frame: 9
x: 317
y: 95
width: 40
height: 100

Frame: 10
x: 318
