Frame  Precision  Recall
1       nan       nan
2       1       1
3       0.666667       0.666667
4       0.5       0.5
5       0.444444       0.444444
6       0.454545       0.454545
7       0.461538       0.461538
8       0.466667       0.466667
9       0.470588       0.470588
10       0.473684       0.473684
11       0.47619       0.47619
12       0.478261       0.478261
13       0.44       0.44
14       0.444444       0.444444
15       0.448276       0.448276
16       0.451613       0.451613
17       0.454545       0.454545
18       0.457143       0.457143
19       0.459459       0.459459
20       0.461538       0.461538
21       0.463415       0.463415
22       0.454545       0.454545
23       0.446809       0.446809
24       0.44898       0.44898
25       0.45098       0.45098
26       0.45283       0.45283
27       0.454545       0.454545
28       0.45614       0.45614
29       0.457627       0.457627
30       0.459016       0.459016
31       0.460317       0.460317
32       0.461538       0.461538
33       0.447761       0.447761
34       0.434783       0.434783
35       0.422535       0.422535
36       0.410959       0.410959
37       0.4       0.4
38       0.38961       0.38961
39       0.375       0.375
40       0.361446       0.361446
41       0.348837       0.348837
42       0.337079       0.337079
43       0.322581       0.322581
44       0.309278       0.309278
45       0.306122       0.306122
