Frame   GroundTruth Elements   TruePositives  False Positives  Number of Detections   False Negatives    Precision           Recall
1               1                    0               0                  0                  0              nan                nan
2               2                    1               0                  1                  1              1                0.5
3               3                    2               1                  3                  2              0.666667                0.5
4               4                    3               2                  5                  3              0.6                0.5
5               5                    4               3                  7                  4              0.571429                0.5
6               6                    5               3                  8                  5              0.625                0.5
7               7                    6               4                  10                  6              0.6                0.5
8               8                    7               5                  12                  7              0.583333                0.5
9               9                    8               5                  13                  8              0.615385                0.5
10               10                    9               6                  15                  9              0.6                0.5
11               11                    10               7                  17                  10              0.588235                0.5
12               12                    11               8                  19                  11              0.578947                0.5
13               13                    12               9                  21                  12              0.571429                0.5
14               14                    13               10                  23                  13              0.565217                0.5
15               15                    14               12                  26                  14              0.538462                0.5
16               16                    15               13                  28                  15              0.535714                0.5
17               17                    16               14                  30                  16              0.533333                0.5
18               18                    17               15                  32                  17              0.53125                0.5
19               19                    17               17                  34                  17              0.5                0.5
20               20                    17               20                  37                  17              0.459459                0.5
21               21                    18               21                  39                  18              0.461538                0.5
22               22                    18               23                  41                  18              0.439024                0.5
23               23                    18               25                  43                  18              0.418605                0.5
24               24                    19               26                  45                  19              0.422222                0.5
25               25                    19               28                  47                  19              0.404255                0.5
26               26                    19               30                  49                  19              0.387755                0.5
27               27                    20               31                  51                  20              0.392157                0.5
28               28                    21               32                  53                  21              0.396226                0.5
29               29                    22               34                  56                  22              0.392857                0.5
30               30                    23               34                  57                  23              0.403509                0.5
31               31                    24               35                  59                  24              0.40678                0.5
32               32                    25               36                  61                  25              0.409836                0.5
33               33                    26               37                  63                  26              0.412698                0.5
34               34                    27               38                  65                  27              0.415385                0.5
35               35                    28               39                  67                  28              0.41791                0.5
36               36                    29               40                  69                  29              0.42029                0.5
37               37                    29               42                  71                  29              0.408451                0.5
38               38                    30               44                  74                  30              0.405405                0.5
39               39                    30               46                  76                  30              0.394737                0.5
40               40                    31               46                  77                  31              0.402597                0.5
41               41                    31               47                  78                  31              0.397436                0.5
42               42                    32               48                  80                  32              0.4                0.5
43               43                    32               51                  83                  32              0.385542                0.5
44               44                    32               54                  86                  32              0.372093                0.5
45               45                    32               56                  88                  32              0.363636                0.5
46               46                    32               57                  89                  32              0.359551                0.5
47               47                    33               57                  90                  33              0.366667                0.5
48               48                    33               58                  91                  33              0.362637                0.5
49               49                    34               58                  92                  34              0.369565                0.5
50               50                    35               58                  93                  35              0.376344                0.5
51               51                    36               59                  95                  36              0.378947                0.5
52               52                    36               60                  96                  36              0.375                0.5
53               53                    36               62                  98                  36              0.367347                0.5
54               54                    37               63                  100                  37              0.37                0.5
55               55                    38               63                  101                  38              0.376238                0.5
56               56                    39               63                  102                  39              0.382353                0.5
57               57                    40               63                  103                  40              0.38835                0.5
58               58                    41               65                  106                  41              0.386792                0.5
59               59                    42               66                  108                  42              0.388889                0.5
60               60                    44               66                  110                  43              0.4                0.505747
61               61                    45               66                  111                  44              0.405405                0.505618
