Frame   GroundTruth Elements   TruePositives  False Positives  Number of Detections   False Negatives    Precision           Recall
1               1                    0               1                  1                  1              0                0
2               2                    0               2                  2                  2              0                0
3               3                    0               3                  3                  3              0                0
4               4                    1               3                  4                  3              0.25                0.25
5               5                    2               3                  5                  3              0.4                0.4
6               6                    3               3                  6                  3              0.5                0.5
7               7                    4               3                  7                  3              0.571429                0.571429
8               8                    5               3                  8                  3              0.625                0.625
9               9                    6               3                  9                  3              0.666667                0.666667
10               10                    7               3                  10                  3              0.7                0.7
11               11                    8               3                  11                  3              0.727273                0.727273
12               12                    9               3                  12                  3              0.75                0.75
13               13                    10               3                  13                  3              0.769231                0.769231
14               14                    11               3                  14                  3              0.785714                0.785714
15               15                    12               3                  15                  3              0.8                0.8
16               16                    13               3                  16                  3              0.8125                0.8125
17               17                    14               3                  17                  3              0.823529                0.823529
18               18                    15               3                  18                  3              0.833333                0.833333
19               19                    16               3                  19                  3              0.842105                0.842105
20               20                    17               3                  20                  3              0.85                0.85
21               21                    18               3                  21                  3              0.857143                0.857143
22               22                    19               3                  22                  3              0.863636                0.863636
23               23                    20               3                  23                  3              0.869565                0.869565
24               24                    21               3                  24                  3              0.875                0.875
25               25                    22               3                  25                  3              0.88                0.88
26               26                    23               4                  27                  3              0.851852                0.884615
27               27                    24               4                  28                  3              0.857143                0.888889
28               28                    25               4                  29                  3              0.862069                0.892857
29               29                    26               4                  30                  3              0.866667                0.896552
30               30                    27               4                  31                  3              0.870968                0.9
31               31                    28               4                  32                  3              0.875                0.903226
32               32                    29               4                  33                  3              0.878788                0.90625
33               33                    30               4                  34                  3              0.882353                0.909091
34               34                    31               4                  35                  3              0.885714                0.911765
35               35                    32               4                  36                  3              0.888889                0.914286
36               36                    33               4                  37                  3              0.891892                0.916667
37               37                    34               4                  38                  3              0.894737                0.918919
38               38                    35               4                  39                  3              0.897436                0.921053
